,Name,IATA,Latitude,Longitude
299,Brussels Airport,BRU,50.9014015198,4.48443984985
300,Jehonville Air Base,\N,49.8917007446289,5.223889827728272
301,Brussels South Charleroi Airport,CRL,50.459202000000005,4.4538199999999994
302,Chièvres Air Base,\N,50.57580184936523,3.8310000896453857
303,Koksijde Air Base,\N,51.09030151367188,2.652780055999756
304,Florennes Air Base,\N,50.2433013916,4.64583015442
305,Wevelgem Airport,KJK,50.817199707,3.2047200202900004
306,Liège Airport,LGG,50.63740158081055,5.443220138549805
307,Ostend-Bruges International Airport,OST,51.1988983154,2.8622200489
308,Zutendaal Air Base,\N,50.9474983215332,5.590559959411621
309,Brustem Airfield Sint Truiden,\N,50.791901,5.20167
310,Saint Hubert Air Base,\N,50.034400939941406,5.440810203552246
311,Ursel Air Base,\N,51.14419937133789,3.475559949874878
312,Weelde Air Base,\N,51.394798278808594,4.9601898193359375
313,Zoersel (Oostmalle) Airfield,OBL,51.264702,4.75333
314,Flugplatz Bautzen,\N,51.193611,14.519722
315,Altenburg-Nobitz Airport,AOC,50.981945,12.506389
316,Dessau Airfield,\N,51.831694,12.190961999999999
317,Eisenhüttenstadt Airfield,\N,52.195856,14.58753
318,Großenhain Airport,\N,51.30805587768555,13.555556297302244
319,Merseburg Airport,\N,51.3630556,11.940833300000001
320,Halle-Oppin Airport,\N,51.552223,12.053889
321,Riesa-Göhlis Airport,IES,51.293609619099996,13.3561105728
322,Rechlin-Lärz Airport,REB,53.306388855,12.7522220612
323,Strausberg Airport,\N,52.5805549621582,13.916666984558105
324,Schönhagen Airport,QXH,52.203609,13.156389
325,Barth Airport,BBH,54.338253,12.710515
326,Jena-Schöngleina Airfield,\N,50.915279,11.714444
327,Kyritz Airport,\N,52.91888809204102,12.425277709960938
328,"Magdeburg ""City"" Airport",ZMG,52.073612,11.626389
329,Rothenburg/Görlitz Airport,\N,51.36333465576172,14.949999809265135
330,Anklam Airfield,\N,53.832779,13.668610999999999
331,Cottbus-Drewitz Airport,CBU,51.889441999999995,14.531944000000001
332,Kamenz Airport,\N,51.29694366455078,14.1274995803833
333,Berlin-Schönefeld Airport,SXF,52.380001,13.5225
334,Dresden Airport,DRS,51.1328010559082,13.767200469970705
335,Erfurt Airport,ERF,50.97980117797852,10.958100318908693
336,Frankfurt am Main Airport,FRA,50.033333,8.570556
337,Münster Osnabrück Airport,FMO,52.134601593,7.68483018875
338,Hamburg Airport,HAM,53.630401611328004,9.988229751586902
339,Berlin-Tempelhof International Airport,THF,52.472999572753906,13.403900146484375
340,Cologne Bonn Airport,CGN,50.865898132299996,7.1427397728
341,Düsseldorf Airport,DUS,51.289501,6.766780000000001
342,Munich Airport,MUC,48.353802,11.7861
343,Nuremberg Airport,NUE,49.498699,11.078056
344,Leipzig/Halle Airport,LEJ,51.423889,12.236388999999999
345,Saarbrücken Airport,SCN,49.2145996094,7.10950994492
346,Stuttgart Airport,STR,48.6898994446,9.22196006775
347,Berlin-Tegel Airport,TXL,52.5597,13.2877
348,Hannover Airport,HAJ,52.461101532,9.68507957458
349,Bremen Airport,BRE,53.0475006104,8.78666973114
350,Frankfurt-Egelsbach Airport,QEF,49.959998999999996,8.645833
351,Frankfurt-Hahn Airport,HHN,49.9487,7.263889999999999
352,Mannheim-City Airport,MHG,49.473057,8.514167
353,Allendorf/Eder Airport,\N,51.03499984741211,8.680832862854004
354,Worms Airport,\N,49.606945,8.368333
355,Mainz-Finthen Airport,\N,49.967499,8.147222
356,Eisenach-Kindel Airport,EIB,50.991603999999995,10.47973
357,Siegerland Airport,SGE,50.70769882202149,8.082969665527344
358,Hamburg-Finkenwerder Airport,XFW,53.5352783203125,9.835556030273438
359,Kiel-Holtenau Airport,KEL,54.37944412231445,10.145277976989746
360,Lübeck Blankensee Airport,LBC,53.805400848400005,10.7192001343
361,Flugplatz Dahlemer Binz,\N,50.405555725,6.528889179199999
362,Meinerzhagen Airport,\N,51.099998474121094,7.5999999046325675
363,Arnsberg-Menden Airport,\N,51.48389053344727,7.8983330726623535
364,Essen Mulheim Airport,ESS,51.40230178833008,6.9373297691345215
365,Bielefeld Airport,BFE,51.964721999999995,8.544444
366,Mönchengladbach Airport,MGL,51.230278000000006,6.504444
367,Paderborn Lippstadt Airport,PAD,51.614101409899995,8.616319656369999
368,Stadtlohn-Vreden Airport,\N,51.99583435058594,6.840556144714356
369,Dortmund Airport,DTM,51.518299102799986,7.61223983765
370,Augsburg Airport,AGB,48.425278000000006,10.931667
371,Biberach a.d. Riß Airfield,\N,48.111111,9.762777999999999
372,Eggenfelden Airport,\N,48.39611053466797,12.723610877990724
373,Mindelheim-Mattsies Airfield,\N,48.106945,10.525
374,Oberpfaffenhofen Airport,OBF,48.081402000000004,11.2831
375,Straubing Airport,RBM,48.90083312988281,12.516667366027832
376,Vilshofen Airport,\N,48.6349983215332,13.195555686950685
377,Leutkirch-Unterzeil Airport,\N,47.85889053344727,10.014166831970217
378,Friedrichshafen Airport,FDH,47.671298980699994,9.511489868160002
379,Schwerin Parchim Airport,SZW,53.426998,11.7834
380,Stendal-Borstel Airport,\N,52.62888717651367,11.818611145019533
381,Aalen-Heidenheim/Elchingen Airport,\N,48.77777862548828,10.264721870422363
382,Bayreuth Airport,BYU,49.985001000000004,11.64
383,Burg Feuerstein Airport,URD,49.794166564940994,11.133610725402999
384,Hof-Plauen Airport,HOQ,50.288612365722656,11.856389045715332
385,Haßfurt-Schweinfurt Airport,\N,50.0180549621582,10.529443740844727
386,Koblenz-Winningen Airfield,\N,50.325558,7.528611
387,Trier-Föhren Airport,\N,49.863888,6.7875
388,Speyer Airfield,\N,49.304722,8.451389
389,Zweibrücken Airport,ZQW,49.2094,7.4005600000000005
390,Donaueschingen-Villingen Airport,ZQL,47.97333145139999,8.52222156525
391,Freiburg i. Br. Airport,\N,48.022777557400005,7.832499980930001
392,Mengen-Hohentengen Airport,\N,48.05389022827149,9.372777938842773
393,Adolf Würth Airport,\N,49.1183319092,9.783888816829998
394,Finsterwalde/Schacksdorf Airport,\N,51.607498,13.743610999999998
395,Braunschweig-Wolfsburg Airport,BWE,52.319199,10.5561
396,Kassel-Calden Airport,KSF,51.417273,9.384967
397,Hildesheim Airport,\N,52.18138885498047,9.946389198303224
398,Bremerhaven Airport,BRV,53.50694300000001,8.572778
399,Emden Airport,EME,53.391109,7.2275
400,Leer-Papenburg Airport,\N,53.27194213867188,7.441667079925537
401,Wilhelmshaven-Mariensiel Airport,WVN,53.502220153808594,8.05222225189209
402,Borkum Airport,BMK,53.59639,6.709167
403,Norderney Airport,NRD,53.70694351196289,7.230000019073486
404,Flensburg-Schäferhaus Airport,FLF,54.77333450317383,9.378889083862305
405,Rendsburg-Schachtholm Airport,\N,54.22000122070313,9.599444389343262
406,Westerland Sylt Airport,GWT,54.9132003784,8.34047031403
407,Ämari Air Base,\N,59.26029968261719,24.208499908447266
408,Kärdla Airport,KDL,58.99079895019531,22.830699920654297
409,Kuressaare Airport,URE,58.22990036010742,22.50950050354004
410,Pärnu Airport,EPU,58.41899871826172,24.47279930114746
411,Lennart Meri Tallinn Airport,TLL,59.41329956049999,24.8327999115
412,Tartu Airport,TAY,58.30749893189999,26.6903991699
413,Enontekio Airport,ENF,68.36260223388699,23.424299240112
414,Eura Airport,\N,61.1161003112793,22.201400756835934
415,Halli Airport,KEV,61.856039,24.786686
416,Helsinki Malmi Airport,HEM,60.254600524902344,25.04280090332031
417,Helsinki Vantaa Airport,HEL,60.317199707031,24.963300704956
418,Hameenkyro Airport,\N,61.68970108032226,23.073699951171875
419,Hanko Airport,\N,59.848899841308594,23.083599090576172
420,Hyvinkää Airfield,HYV,60.6543998718,24.881099700900002
421,Kiikala Airport,\N,60.4625015259,23.652500152600002
422,Immola Airport,\N,61.24919891357422,28.90369987487793
423,Kitee Airport,KTQ,62.1661,30.073601
424,Ivalo Airport,IVL,68.607299804688,27.405300140380998
425,Joensuu Airport,JOE,62.662899017334006,29.607500076294
426,Jyvaskyla Airport,JYV,62.399501800537,25.678300857544
